# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

possesses certain magical qualities that are sacred to Oshun. It is not difficult to understand why mud is,
"considered the appropriate medium for Ala (the Igbo earth goddess). Olokun (the Bini god of the ocean), or",
Legba (originally an earth god of the Fon). The fact that the material is perishable and sometimes does not,
even last five years does not enter into the consideration. One does not interfere with the natural life of a,
"carving. When it perishes, a new one simply has to be made.",
16. The Igbos often use corrugated iron for the roofs of their Mbari houses,
А. in order to make them look important,
B. in order to protect the mud walls,www.myschoolgist.com
C. because it lasts longer than thatch,
D. because it is less imposing than thatch,
E. because it is expensive,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

17. Different materials are chosen because,
A. they are considered suitable,
B. some are difficult to obtain,
C. they are used by different worshippers of the same god,
D. they are thought to have particular physical powers,
E. they are associated with different deities,
18. Basically' as used in the above passage means,
A. entirely,
B. completely,
C. necessarily,
D. simply,
E. essentially,
19. The durability of a carving,
A. is not considered important,
B. is less than five years,
C. should not be interfered with,
D. is natural,
E. is related to its mystic properties,
20. It seems probable that mud is used for sculpture primarily because,
А. It is cheap,
B. it is thought to have a particular significance,
C. it is easy to obtain,
D. it has the quality of durability,
E. other materials are thought to have supernatural powers,
PASSAGE E,
No journey can be quite so soothing as a voyage on the Nile from Cairo to Philae. Day after day as you sail,
upstream nothing in the general pattern changes. Tonight's incredibly bright stars are the same as last nights,
"and tomorrows. Each new bend in the river discloses the same buffalo circling his waterwheel, the same",
"pigeon lofts on the houses, the same dark Egyptian faces swathed in white. The banks are surprisingly green, a",
"patch-work of rice fields and sugar cane, of palms and eucalyptus, and then beyond them, like a frame set",
"around a picture, one sees the desert and the hills. There is always a movement somewhere, but it is of a",
"gentle, ambulatory kind, and one feels oneself going along in a rhythm with the processions of camels and",
"donkeys on the bank, and the feluccas gliding by, and the buffalo, released at last from his wheel, sliding to",
"the blessed coolness of the water in the evening. Occasionally, a whiff of humanity comes out from the mud-",
"hut villages on the shore, and it contains traces of the smoke of cooking fires, of dried cow-dung and of",www.myschoolgist.com
"Turkish coffee, of some sweet and heavy scent, famine perhaps, and of water sprinkled on the dust. It is not",
"unpleasant. Lying on deck, one idly observes the flight of birds, one dreams, one lets the hours go by, and",
nothing can be more satisfying than the sight of the brown pillars of a ruined temple that has been standing,
alone on the edge of the desert from the last two thousand years. This is the past joining the present in a,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

"comfortably deceptive glow and the traveler, like a spectator in a theatre, remains detached from both. He",
"would not for the world live in the dust and squalor of these villages he finds so picturesque, and the ancient",
ruins he has come to see do not really evoke the early civilization of the Egyptians.,
21. The journey up the Nile is very soothing because,
A. it is very slow,
B. the scenery doesn't change much,
C. the general pattern changes from day to day,
D. There is not much activity on the bank,
E. there are few people to be seen,
22. Which of the following statements is true of the buffaloes?,
A. they are all exactly the same,
B. They are to be seen on the bends of the river,
C. They sometimes get drowned in the river,
D. They are allowed to rest during the heat of the day,
E. They drive the waterwheels in the day time,
23. The presence of people on the shore,
A. is often apparent,
B. becomes apparent when they come out of their huts,
C. reminds the traveler of their humanity,
D. is indicated by the smells from the villages,
E. prevents the traveler from feeling lovely,
24. Which of the following suggests that the country,
is a land of ancient civilization?,
A. Egyptian faces swathed in white,
B. The palms and eucalyptus,
C. The mud-hut villages,
D. The patchwork of rice fields,
E. the brown pillars,
25. Which of the following statements is true of the traveler in this passage,
A. He likes being idle,
B. He would not like to live in the villages,
С. He would like to see temples in ruins,
D. He finds the smell of the villages unbearable,
E. he felt a deceptive glow,
Choose the expression or word which best complete each sentence:,www.myschoolgist.com
"26. .... for the team for six years, he decided to join another",
A. When he played,
B. Playing,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

C. Having played,
D. In playing,
E. when he was playing,
27. The bridge connecting the two cities was .... by the enemy,
A. blown up,
B. blown down,
C. blown off,
D. blown over,
E. blown away,
28. My little boy is suffering .... jaundice,
A. from,
B. of,
C. for,
D. with,
E. by,
29. They went to the market and bought a suitcase and .... bag,
A. a big leather brown,
B. a leather brown big,
C. a big brown leather,
D. a brown big leather,
E. a leather big brown,
"30. By the end of this year, .... in this town for eleven years",
A. I’m living,
B. I’d be living,
C. I’ll live,
D. I’ll have lived,
E. I have lived,
"31. If he had left home earlier, he .... late",
A. would not be,
B. would have not be,
C. would not been,
D. would have been not,
E. would not have been,
32. I saw you walking in that direction but I did not know exactly ....,www.myschoolgist.com
A. where are you going,
B. where you were going,
C. where were you going to,
D. to where were you going,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

E. where you are going,
33. The hill behind the town was so steep ....,
A. that no man could find a foot-hold on,
B. that any man could find a foot-hold on it,
C. for no man to find a foot-hold on,
D. that no man could find a foot-hold on it,
E. for any man to find a foot-hold on,
34. Walking down the street ....,
A. the boy was knocked down by a car,
B. a car knocked the boy down,
C. the boy was knocked down by car,
D. a car collided with the boy,
E. a serious accident happened,
35. The project which seemed very near realization .... because of lack of funds,
A. fell over,
B. fell through,
C. fell off,
D. fell in,
E. fell down,
36. The chairman of the company was very sympathetic .... his staff,
A. to,
B. at,
C. for,
D. from,
E. on,
37. Jane asked James ....,
A. whether could she meet him later,
B. could she meet him later,
C. if she could meet him later,
D. she could meet him later,
E. that she could meet him later,
38. She doesn’t have to attend the lecture …...?,
